EdgeID,from_id,to_id,Timestamp,Amount Received,Received Currency,Payment Format,Is Laundering,Transaction Authorization Method,Transaction Fees,Destination Bank ID,Transaction Origin,Transaction Status
107,39,44,5390140,500.0,0,1,0,0,41.0,21,1,0
108,48,44,5390140,500.0,0,1,0,0,41.0,21,1,0
109,48,44,5390140,500.0,0,1,0,0,41.0,21,1,0
110,48,44,5390140,500.0,0,1,0,0,41.0,21,1,0
111,48,44,5390140,500.0,0,1,0,0,41.0,21,1,0
112,48,44,5390140,500.0,0,1,0,0,41.0,21,1,0
113,48,44,5390140,500.0,0,1,0,0,41.0,21,1,0
114,48,44,5390140,200.0,0,1,0,0,41.0,21,1,0
115,48,44,5390140,100.0,0,1,0,0,41.0,21,1,0
116,8,44,5390140,500.0,0,1,0,0,41.0,21,1,0
117,8,44,5390140,500.0,0,1,0,0,41.0,21,1,0
118,8,44,5390140,500.0,0,1,0,0,41.0,21,1,0
119,8,44,5390140,500.0,0,1,0,0,41.0,21,1,0
120,37,44,5390140,500.0,0,1,0,0,41.0,21,1,0
121,37,44,5390140,500.0,0,1,0,0,41.0,21,1,0
122,37,44,5390140,500.0,0,1,0,0,41.0,21,1,0
123,49,44,5390140,500.0,0,1,0,0,41.0,21,1,0
124,49,44,5390140,1000.0,0,1,0,0,41.0,21,1,0
125,49,44,5390140,500.0,0,1,0,0,41.0,21,1,0
126,49,44,5390140,500.0,0,1,0,0,41.0,21,1,0
127,49,44,5390140,500.0,0,1,0,0,41.0,21,1,0
128,26,44,5390140,500.0,0,1,0,0,41.0,21,1,0
129,26,44,5390140,500.0,0,1,0,0,41.0,21,1,0
130,26,44,5390140,500.0,0,1,0,0,41.0,21,1,0
131,26,44,5390140,500.0,0,1,0,0,41.0,21,1,0
132,26,44,5390140,500.0,0,1,0,0,41.0,21,1,0
133,26,44,5390140,500.0,0,1,0,0,41.0,21,1,0
134,31,44,5390140,500.0,0,1,0,0,41.0,21,1,0
135,31,44,5390140,500.0,0,1,0,0,41.0,21,1,0
136,31,44,5390140,500.0,0,1,0,0,41.0,21,1,0
137,31,44,5390140,500.0,0,1,0,0,41.0,21,1,0
138,31,44,5390140,500.0,0,1,0,0,41.0,21,1,0
139,31,44,5390140,100.0,0,1,0,0,41.0,21,1,0
140,31,44,5390140,100.0,0,1,0,0,41.0,21,1,0
141,31,44,5390140,300.0,0,1,0,0,41.0,21,1,0
142,19,44,5390140,500.0,0,1,0,0,41.0,21,1,0
143,19,44,5390140,500.0,0,1,0,0,41.0,21,1,0
144,19,44,5390140,500.0,0,1,0,0,41.0,21,1,0
145,19,44,5390140,500.0,0,1,0,0,41.0,21,1,0
146,19,44,5390140,500.0,0,1,0,0,41.0,21,1,0
147,19,44,5390140,500.0,0,1,0,0,41.0,21,1,0
148,19,44,5390140,500.0,0,1,0,0,41.0,21,1,0
149,0,44,5390140,500.0,0,1,0,0,41.0,21,1,0
150,0,44,5390140,500.0,0,1,0,0,41.0,21,1,0
151,13,44,5390140,500.0,0,1,0,0,41.0,21,1,0
152,13,1,5390140,500.0,0,0,0,0,41.0,0,1,0
153,41,44,5390140,500.0,0,1,0,0,41.0,21,1,0
154,41,44,5390140,500.0,0,1,0,0,41.0,21,1,0
155,41,44,5390140,500.0,0,1,0,0,41.0,21,1,0
156,41,44,5390140,500.0,0,1,0,0,41.0,21,1,0
157,5,44,5390140,500.0,0,1,0,0,41.0,21,1,0
158,5,44,5390140,500.0,0,1,0,0,41.0,21,1,0
159,1,44,5390140,5000.0,0,1,0,0,41.0,21,1,0
160,1,44,5390140,5000.0,0,1,0,0,41.0,21,1,0
161,2,44,5390140,500.0,0,1,0,0,41.0,21,1,0
162,2,44,5390140,500.0,0,1,0,0,41.0,21,1,0
163,2,44,5390140,500.0,0,1,0,0,41.0,21,1,0
164,2,44,5390140,500.0,0,1,0,0,41.0,21,1,0
165,2,44,5390140,500.0,0,1,0,0,41.0,21,1,0
166,2,44,5390140,300.0,0,1,0,0,41.0,21,1,0
167,2,44,5390140,500.0,0,1,0,0,41.0,21,1,0
168,2,44,5390140,500.0,0,1,0,0,41.0,21,1,0
169,2,44,5390140,300.0,0,1,0,0,41.0,21,1,0
170,2,44,5390140,300.0,0,1,0,0,41.0,21,1,0
171,3,44,5390140,500.0,0,1,0,0,41.0,21,1,0
172,3,44,5390140,500.0,0,1,0,0,41.0,21,1,0
173,3,44,5390140,500.0,0,1,0,0,41.0,21,1,0
174,3,44,5390140,500.0,0,1,0,0,41.0,21,1,0
175,3,44,5390140,500.0,0,1,0,0,41.0,21,1,0
176,4,44,5390140,500.0,0,1,0,0,41.0,21,1,0
177,4,44,5390140,500.0,0,1,0,0,41.0,21,1,0
178,24,44,5390140,500.0,0,1,0,0,41.0,21,1,0
179,24,44,5390140,500.0,0,1,0,0,41.0,21,1,0
180,16,44,5390140,500.0,0,1,0,0,41.0,21,1,0
181,16,44,5390140,500.0,0,1,0,0,41.0,21,1,0
182,16,44,5390140,500.0,0,1,0,0,41.0,21,1,0
183,16,44,5390140,500.0,0,1,0,0,41.0,21,1,0
184,7,44,5390140,500.0,0,1,0,0,41.0,21,1,0
185,7,44,5390140,500.0,0,1,0,0,41.0,21,1,0
186,7,44,5390140,500.0,0,1,0,0,41.0,21,1,0
187,7,44,5390140,500.0,0,1,0,0,41.0,21,1,0
188,7,44,5390140,500.0,0,1,0,0,41.0,21,1,0
189,7,44,5390140,500.0,0,1,0,0,41.0,21,1,0
190,7,44,5390140,500.0,0,1,0,0,41.0,21,1,0
191,7,44,5390140,500.0,0,1,0,0,41.0,21,1,0
192,42,44,5390140,500.0,0,1,0,0,41.0,21,1,0
193,42,44,5390140,500.0,0,1,0,0,41.0,21,1,0
194,29,44,5390140,500.0,0,1,0,0,41.0,21,1,0
195,29,44,5390140,500.0,0,1,0,0,41.0,21,1,0
196,29,44,5390140,500.0,0,1,0,0,41.0,21,1,0
197,29,44,5390140,500.0,0,1,0,0,41.0,21,1,0
198,27,44,5390140,500.0,0,1,0,0,41.0,21,1,0
199,27,44,5390140,500.0,0,1,0,0,41.0,21,1,0
200,27,44,5390140,500.0,0,1,0,0,41.0,21,1,0
201,33,44,5390140,500.0,0,1,0,0,41.0,21,1,0
202,33,16,5390140,1500.0,0,0,0,2,12.0,8,1,0
203,30,44,5390140,500.0,0,1,0,0,41.0,21,1,0
204,30,44,5390140,500.0,0,1,0,0,41.0,21,1,0
205,30,44,5390140,500.0,0,1,0,0,41.0,21,1,0
206,34,44,5390140,500.0,0,1,0,0,41.0,21,1,0
207,12,44,5390140,500.0,0,1,0,0,41.0,21,1,0
208,12,44,5390140,500.0,0,1,0,0,41.0,21,1,0
209,12,44,5390140,500.0,0,1,0,0,41.0,21,1,0
210,50,44,5390140,500.0,0,1,0,0,41.0,21,1,0
211,50,44,5390140,500.0,0,1,0,0,41.0,21,1,0
212,14,44,5390140,500.0,0,1,0,0,41.0,21,1,0
213,14,44,5390140,500.0,0,1,0,0,41.0,21,1,0
214,14,44,5390140,500.0,0,1,0,0,41.0,21,1,0
215,14,44,5390140,500.0,0,1,0,0,41.0,21,1,0
216,14,24,5390140,500.0,0,0,0,0,41.0,22,1,0
217,14,44,5390140,500.0,0,1,0,0,41.0,21,1,0
218,38,44,5390140,500.0,0,1,0,0,41.0,21,1,0
219,38,44,5390140,1500.0,0,1,0,0,41.0,21,1,0
220,9,44,5390140,500.0,0,1,0,0,41.0,21,1,0
221,9,44,5390140,500.0,0,1,0,0,41.0,21,1,0
222,20,44,5390140,500.0,0,1,0,0,41.0,21,1,0
223,20,44,5390140,500.0,0,1,0,0,41.0,21,1,0
224,40,44,5390140,500.0,0,1,0,0,41.0,21,1,0
225,36,44,5390140,5000.0,0,1,0,0,41.0,21,1,0
226,36,44,5390140,500.0,0,1,0,0,41.0,21,1,0
227,25,44,5390140,500.0,0,1,0,0,41.0,21,1,0
228,17,44,5390140,500.0,0,1,0,0,41.0,21,1,0
229,32,44,5390140,500.0,0,1,0,0,41.0,21,1,0
230,32,44,5390140,500.0,0,1,0,0,41.0,21,1,0
231,32,44,5390140,500.0,0,1,0,0,41.0,21,1,0
232,32,44,5390140,500.0,0,1,0,0,41.0,21,1,0
233,23,44,5390140,500.0,0,1,0,0,41.0,21,1,0
234,23,44,5390140,500.0,0,1,0,0,41.0,21,1,0
235,22,44,5390140,500.0,0,1,0,0,41.0,21,1,0
236,22,44,5390140,500.0,0,1,0,0,41.0,21,1,0
237,22,44,5390140,500.0,0,1,0,0,41.0,21,1,0
238,22,44,5390140,500.0,0,1,0,0,41.0,21,1,0
239,22,44,5390140,500.0,0,1,0,0,41.0,21,1,0
240,22,44,5390140,500.0,0,1,0,0,41.0,21,1,0
241,21,44,5390140,500.0,0,1,0,0,41.0,21,1,0
242,21,44,5390140,500.0,0,1,0,0,41.0,21,1,0
243,21,44,5390140,500.0,0,1,0,0,41.0,21,1,0
244,21,44,5390140,500.0,0,1,0,0,41.0,21,1,0
245,21,44,5390140,500.0,0,1,0,0,41.0,21,1,0
246,21,44,5390140,500.0,0,1,0,0,41.0,21,1,0
247,21,44,5390140,500.0,0,1,0,0,41.0,21,1,0
248,15,44,5390140,500.0,0,1,0,0,41.0,21,1,0
249,15,44,5390140,500.0,0,1,0,0,41.0,21,1,0
250,11,44,5390140,500.0,0,1,0,0,41.0,21,1,0
251,11,44,5390140,500.0,0,1,0,0,41.0,21,1,0
252,6,44,5390140,500.0,0,1,0,0,41.0,21,1,0
253,6,44,5390140,500.0,0,1,0,0,41.0,21,1,0
254,6,44,5390140,500.0,0,1,0,0,41.0,21,1,0
255,10,44,5390140,500.0,0,1,0,0,41.0,21,1,0
256,10,44,5390140,500.0,0,1,0,0,41.0,21,1,0
257,10,44,5390140,500.0,0,1,0,0,41.0,21,1,0
258,36,15,5437510,1826.0,0,0,1,0,35.0,6,1,0
259,22,16,5460066,1500.0,0,0,1,0,18.0,8,1,0
260,21,44,5473240,120.0,0,2,0,2,41.0,21,3,0
261,8,44,5473825,600.0,0,1,0,0,41.0,21,1,0
262,8,44,5473825,400.0,0,1,0,0,41.0,21,1,0
263,19,44,5473825,600.0,0,1,0,0,41.0,21,1,0
264,7,44,5473830,400.0,0,1,0,0,41.0,21,1,0
265,7,44,5473835,400.0,0,1,0,0,41.0,21,1,0
266,31,44,5473850,600.0,0,1,0,0,41.0,21,1,0
267,7,44,5474435,300.0,0,1,0,0,41.0,21,1,0
268,46,44,5474440,200.0,0,1,0,0,41.0,21,1,0
269,39,44,5474725,400.0,0,1,0,0,41.0,21,1,0
270,23,44,5474740,600.0,0,1,0,0,41.0,21,1,0
271,22,44,5474740,200.0,0,2,0,0,41.0,21,4,0
272,2,44,5474760,250.0,0,1,0,0,41.0,21,1,0
273,3,44,5476540,400.0,0,1,0,0,41.0,21,1,0
274,1,44,5477435,4000.0,0,1,0,0,41.0,21,1,0
275,4,44,5477435,600.0,0,1,0,0,41.0,21,1,0
276,34,44,5477435,600.0,0,1,0,0,41.0,21,1,0
277,41,44,5477445,400.0,0,1,0,0,41.0,21,1,0
278,29,44,5477445,400.0,0,1,0,0,41.0,21,1,0
279,29,44,5477450,600.0,0,1,0,0,41.0,21,1,0
280,6,44,5477450,600.0,0,1,0,0,41.0,21,1,0
281,48,44,5477455,90.0,0,1,0,0,41.0,21,1,0
282,49,44,5477455,350.0,0,1,0,0,41.0,21,1,0
283,11,44,5477455,600.0,0,1,0,0,41.0,21,1,0
284,24,44,5478340,450.0,0,1,0,0,41.0,21,1,0
285,42,44,5478340,600.0,0,1,0,0,41.0,21,1,0
286,40,44,5478360,600.0,0,1,0,0,41.0,21,1,0
287,10,27,5480110,1500.0,0,0,1,0,18.0,23,1,0
288,16,44,5480425,15.0,0,3,0,2,41.0,21,5,0
289,25,44,5480445,30.0,0,4,0,0,41.0,21,6,0
290,33,44,5481025,400.0,0,1,0,0,41.0,21,1,0
291,14,44,5481035,400.0,0,2,0,0,41.0,21,4,0
292,6,36,5481040,400.0,0,0,0,2,12.0,20,1,0
293,48,44,5481050,600.0,0,1,0,0,41.0,21,1,0
294,21,44,5481925,400.0,0,1,0,0,41.0,21,1,0
295,17,44,5481945,700.0,0,1,0,0,41.0,21,1,0
296,28,44,5483435,600.0,0,1,0,0,41.0,21,1,0
297,22,44,5483435,120.0,0,2,0,0,41.0,21,4,0
298,18,44,5484040,400.0,0,1,0,0,41.0,21,1,0
299,15,44,5484040,600.0,0,1,0,0,41.0,21,1,0
300,21,10,5484045,180.0,0,0,0,0,41.0,0,1,0
301,45,44,5484050,600.0,0,1,0,0,41.0,21,1,0
302,21,44,5484050,450.0,0,1,0,0,41.0,21,1,0
303,26,44,5484325,400.0,0,1,0,0,41.0,21,1,0
304,0,44,5484345,250.0,0,2,0,3,32.0,21,3,0
305,48,44,5484350,600.0,0,1,0,0,41.0,21,1,0
306,32,44,5484350,600.0,0,1,0,2,41.0,21,1,0
307,50,44,5485225,400.0,0,1,0,0,41.0,21,1,0
308,43,44,5485245,400.0,0,1,0,2,41.0,21,1,0
309,20,44,5485540,700.0,0,1,0,0,41.0,21,1,0
310,48,44,5487640,350.0,0,1,0,0,41.0,21,1,0
311,35,44,5494840,300.0,0,1,0,0,41.0,21,1,0
312,9,19,5494845,350.0,0,0,0,4,41.0,9,1,0
313,13,44,5495435,600.0,0,1,0,0,41.0,21,1,0
314,49,44,5495455,200.0,0,2,0,0,41.0,21,4,0
315,2,44,5496640,600.0,0,1,0,0,41.0,21,1,0
316,47,44,5496645,400.0,0,1,0,2,41.0,21,1,0
317,22,30,5559332,1200.0,0,0,1,0,21.0,1,1,0
318,46,44,5562940,500.0,0,1,0,0,41.0,21,1,0
319,31,2,5562940,500.0,0,0,0,0,41.0,1,1,0
320,34,44,5562940,500.0,0,1,0,0,41.0,21,1,0
321,40,44,5562940,500.0,0,1,0,0,41.0,21,1,0
322,25,17,5562940,500.0,0,0,0,0,41.0,9,1,0
323,17,44,5562940,500.0,0,1,0,0,41.0,21,1,0
324,21,44,5562940,500.0,0,1,0,0,41.0,21,1,0
325,14,38,5563845,700.0,0,0,0,3,12.0,24,1,0
326,49,16,5564731,500.0,0,0,0,0,41.0,1,1,0
327,6,44,5564731,500.0,0,1,0,0,41.0,21,1,0
328,43,45,5581255,300.0,0,0,0,3,41.0,18,1,0
329,45,44,5581255,300.0,0,2,0,2,41.0,21,3,0
330,45,19,5581255,300.0,0,0,0,2,41.0,10,1,0
331,46,19,5581255,500.0,0,0,0,3,41.0,10,1,0
332,47,44,5581255,300.0,0,2,0,3,41.0,21,3,0
333,39,27,5581255,1000.0,0,0,0,3,12.0,23,1,0
334,48,1,5581255,300.0,0,0,0,3,41.0,0,1,0
335,48,2,5581255,300.0,0,0,0,3,41.0,1,1,0
336,8,4,5581255,800.0,0,0,0,2,12.0,3,1,0
337,8,4,5581255,1000.0,0,0,0,2,12.0,3,1,0
338,37,45,5581255,300.0,0,0,0,3,41.0,18,1,0
339,37,45,5581255,300.0,0,0,0,3,41.0,18,1,0
340,37,4,5581255,300.0,0,0,0,3,41.0,3,1,0
341,49,45,5581255,300.0,0,0,0,2,41.0,18,1,0
342,49,4,5581255,300.0,0,0,0,2,12.0,3,1,0
343,26,44,5581255,300.0,0,2,0,0,41.0,21,4,0
344,31,7,5581255,300.0,0,0,0,2,41.0,16,1,0
345,19,1,5581255,300.0,0,0,0,3,41.0,0,1,0
346,19,1,5581255,300.0,0,0,0,3,41.0,0,1,0
347,19,2,5581255,300.0,0,0,0,3,41.0,1,1,0
348,19,3,5581255,300.0,0,0,0,2,41.0,2,1,0
349,19,27,5581255,300.0,0,0,0,2,41.0,23,1,0
350,19,24,5581255,300.0,0,0,0,2,41.0,14,1,0
351,13,1,5581255,1000.0,0,0,0,2,12.0,0,1,0
352,5,2,5581255,800.0,0,0,0,3,41.0,1,1,0
353,2,19,5581255,1000.0,0,0,0,2,12.0,10,1,0
354,2,4,5581255,1000.0,0,0,0,3,12.0,18,1,0
355,2,14,5581255,300.0,0,0,0,3,41.0,7,1,0
356,2,44,5581255,100.0,0,2,0,3,41.0,21,3,0
357,3,24,5581255,300.0,0,0,0,3,41.0,14,1,0
358,3,24,5581255,300.0,0,0,0,0,41.0,14,1,0
359,3,24,5581255,300.0,0,0,0,2,41.0,14,1,0
360,24,7,5581255,700.0,0,0,0,2,12.0,16,1,0
361,16,33,5581255,1000.0,0,0,0,2,41.0,17,1,0
362,7,14,5581255,1000.0,0,0,0,3,41.0,7,1,0
363,7,12,5581255,1000.0,0,0,0,3,41.0,12,1,0
364,7,44,5581255,300.0,0,2,0,2,41.0,21,3,0
365,7,9,5581255,1000.0,0,0,0,2,12.0,19,1,0
366,7,9,5581255,200.0,0,0,0,3,41.0,19,1,0
367,42,36,5581255,700.0,0,0,0,2,12.0,20,1,0
368,29,28,5581255,300.0,0,0,0,3,41.0,9,1,0
369,29,30,5581255,300.0,0,0,0,2,41.0,1,1,0
370,29,30,5581255,300.0,0,0,0,3,41.0,1,1,0
371,30,4,5581255,1000.0,0,0,0,2,12.0,3,1,0
372,30,4,5581255,1000.0,0,0,0,2,12.0,3,1,0
373,34,36,5581255,1000.0,0,0,0,2,41.0,20,1,0
374,12,17,5581255,800.0,0,0,0,3,41.0,9,1,0
375,12,21,5581255,800.0,0,0,0,3,41.0,24,1,0
376,50,16,5581255,1000.0,0,0,0,2,12.0,8,1,0
377,50,16,5581255,800.0,0,0,0,3,41.0,8,1,0
378,14,44,5581255,300.0,0,2,0,3,41.0,21,4,0
379,14,1,5581255,100.0,0,5,0,2,41.0,0,7,0
380,14,24,5581255,800.0,0,0,0,3,12.0,22,1,0
381,38,1,5581255,1000.0,0,0,0,2,12.0,0,1,0
382,20,25,5581255,1000.0,0,0,0,5,41.0,1,1,0
383,36,3,5581255,1000.0,0,0,0,3,12.0,2,1,0
384,17,34,5581255,1000.0,0,0,0,2,12.0,11,1,0
385,32,15,5581255,300.0,0,0,0,3,41.0,6,1,0
386,23,36,5581255,1000.0,0,0,0,3,12.0,20,1,0
387,23,44,5581255,300.0,0,2,0,2,41.0,21,3,0
388,22,15,5581255,700.0,0,0,0,2,12.0,6,1,0
389,21,36,5581255,300.0,0,0,0,3,41.0,20,1,0
390,21,3,5581255,50.0,0,5,0,2,41.0,2,1,0
391,15,33,5581255,300.0,0,0,0,3,41.0,17,1,0
392,11,14,5581255,1000.0,0,0,0,6,12.0,7,1,0
393,28,26,5582730,700.0,0,0,0,2,12.0,18,1,0
394,18,44,5582730,300.0,0,2,0,2,41.0,21,3,0
395,35,1,5582730,300.0,0,0,0,2,41.0,0,1,0
396,47,27,5582730,300.0,0,0,0,2,41.0,23,1,0
397,39,1,5582730,300.0,0,0,0,2,41.0,0,1,0
398,39,44,5582730,300.0,0,2,0,2,41.0,21,4,0
399,48,1,5582730,300.0,0,0,0,3,41.0,0,1,0
400,48,44,5582730,300.0,0,2,0,2,41.0,21,4,0
401,48,37,5582730,300.0,0,0,0,3,41.0,1,1,0
402,48,13,5582730,100.0,0,0,0,3,41.0,6,1,0
403,48,44,5582730,50.0,0,2,0,2,41.0,21,4,0
404,49,24,5582730,300.0,0,0,0,2,41.0,14,1,0
405,49,4,5582730,500.0,0,0,0,2,34.0,3,1,0
406,49,27,5582730,300.0,0,0,0,2,41.0,23,1,0
407,26,2,5582730,800.0,0,0,0,3,12.0,1,1,0
408,26,2,5582730,200.0,0,0,0,2,41.0,1,1,0
409,26,7,5582730,300.0,0,0,0,3,41.0,16,1,0
410,26,2,5582730,300.0,0,0,0,3,41.0,1,1,0
411,26,1,5582730,300.0,0,0,0,2,41.0,0,1,0
412,31,44,5582730,300.0,0,2,0,2,41.0,21,3,0
413,31,1,5582730,700.0,0,0,0,2,12.0,0,1,0
414,31,38,5582730,1000.0,0,0,0,2,12.0,24,1,0
415,31,2,5582730,200.0,0,0,0,3,41.0,1,1,0
416,31,4,5582730,20.0,0,0,0,2,42.0,3,1,0
417,31,4,5582730,50.0,0,0,0,2,43.0,3,1,0
418,19,7,5582730,300.0,0,0,0,2,41.0,16,1,0
419,0,1,5582730,800.0,0,0,0,2,12.0,0,1,0
420,0,2,5582730,300.0,0,0,0,3,41.0,1,1,0
421,41,2,5582730,800.0,0,0,0,3,41.0,1,1,0
422,41,1,5582730,300.0,0,0,0,2,41.0,0,1,0
423,41,16,5582730,300.0,0,0,0,3,41.0,8,1,0
424,5,2,5582730,700.0,0,0,0,3,41.0,1,1,0
425,1,34,5582730,3000.0,0,0,0,2,12.0,11,1,0
426,2,34,5582730,1000.0,0,0,0,2,12.0,11,1,0
427,2,33,5582730,800.0,0,0,0,2,12.0,17,1,0
428,2,34,5582730,200.0,0,0,0,2,41.0,11,1,0
